
eps4_iter4_step1

;clean
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;45.415021431673864;72.92099276166053;81.82899112914018;;2.7588923805620076;2.622972172883363;2.799986336931275
;curr;;43.69849050120943;72.2528619371402;81.48506090139888;;2.6475260893156842;2.5012644011760696;2.6443322775625577
;diff;;-1.7165309304644367;-0.6681308245203326;-0.34393022774129633;;-0.11136629124632336;-0.12170777170729341;-0.15565405936871723
;diff rel (%);;-3.77965456439766;-0.916239342357958;-0.4203036393281636;;-4.036630498201498;-4.640071021931709;-5.559100675445108

;PGD-u-iter10-
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;5.603279932669015;63.58206287311141;77.98595124748861;;2.7716537211832786;2.560592768852527;2.770425186652159
;curr;;5.817831167654627;62.43486670172138;77.27034558915788;;2.705609980678662;2.484552741214829;2.6425929839391378
;diff;;0.21455123498561246;-1.1471961713900285;-0.7156056583307304;;-0.06604374050461637;-0.07604002763769824;-0.1278322027130212
;diff rel (%);;3.829029382142882;-1.8042764256948527;-0.9176084241888055;;-2.3828279846019464;-2.969625961717212;-4.614172702764675

;hPGD-u-intra-level1
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;8.190281245454102;68.08634768625733;80.53942429032296;;2.3577778121926856;2.2867611872110762;2.562843901721348
;curr;;9.273715896211613;68.21323860982422;80.47357820401527;;2.275295334189829;2.1645606806003825;2.3881188700529568
;diff;;1.0834346507575106;0.12689092356689002;-0.06584608630768685;;-0.08248247800285657;-0.1222005066106937;-0.17472503166839104
;diff rel (%);;13.228296053433517;0.1863676462006816;-0.08175634093227364;;-3.4983142845911144;-5.343824588860059;-6.817622858381505

;hPGD-u-intra-level2
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;7.85936962125028;67.67084211300892;80.39702670589374;;2.374693789373382;2.2968578449715875;2.5679808808835842
;curr;;8.917923698759383;67.78931401337788;80.29539292785013;;2.2956048457891964;2.1766403308558164;2.397205672928737
;diff;;1.0585540775091031;0.11847190036895938;-0.10163377804360607;;-0.0790889435841855;-0.12021751411577108;-0.17077520795484702
;diff rel (%);;13.468689329064878;0.1750708232226721;-0.12641484667760172;;-3.3304901852232054;-5.233998890221184;-6.650174431831717

;hPGD-u-intra-level3
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;7.43639987602735;66.9477723206684;80.04276771454295;;2.423007062022142;2.328403614342164;2.5911269666330012
;curr;;8.288445195574669;66.82892388598934;79.86400415942927;;2.3490836230316985;2.2174346095563644;2.4276715227476195
;diff;;0.8520453195473188;-0.11884843467906592;-0.17876355511367592;;-0.07392343899044374;-0.11096900478579963;-0.1634554438853817
;diff rel (%);;11.457766308318748;-0.17752410656743317;-0.22333504977139418;;-3.050896555322058;-4.765883547949711;-6.308276128119699

;hPGD-u-intra-level4
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;5.8490193027789426;64.77225532956943;78.95395345748611;;2.6348023392342745;2.4526154043636006;2.6808579960962424
;curr;;6.345272424874032;63.84574315350526;78.4383473122955;;2.5738422886289634;2.368467593189978;2.541788048304705
;diff;;0.49625312209508987;-0.9265121760641719;-0.5156061451906027;;-0.06096005060531118;-0.08414781117362269;-0.13906994779153736
;diff rel (%);;8.484381678468967;-1.430415185251711;-0.6530466463192856;;-2.3136479612746728;-3.430941966029818;-5.187516384457716

;hPGD-u-intra-level5
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;5.594860885743123;64.13230011417608;78.51914862158952;;2.7006535603225634;2.5000293650375345;2.7170061214809014
;curr;;5.970557541794078;63.053814658693454;77.87034397671937;;2.6409993763347384;2.421090469260862;2.585027497968363
;diff;;0.37569665605095537;-1.078485455482621;-0.6488046448701539;;-0.05965418398782507;-0.07893889577667235;-0.1319786235125382
;diff rel (%);;6.715031235330786;-1.6816572204062086;-0.8263011714466799;;-2.208879541761737;-3.1575187428043345;-4.857501883013918

;hPGD-u-intra-level6
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;5.579932541794078;63.993345476259854;78.38230546872327;;2.7195753251887127;2.5157984300585436;2.730875515313518
;curr;;5.930748624596626;62.913528597278955;77.7553150228634;;2.658965085915328;2.4373515329471207;2.599206790088466
;diff;;0.35081608280254795;-1.0798168789808997;-0.6269904458598745;;-0.060610239273384714;-0.07844689711142294;-0.1316687252250519
;diff rel (%);;6.2871025800923475;-1.6873893229749777;-0.7999132484181155;;-2.228665582894967;-3.11817100186351;-4.821483970496389

;hPGD-u-extra_max-level1
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;13.153148675040836;65.09000043960134;78.44890473754542;;3.2125013301028886;2.813809332820391;2.9789393554935297
;curr;;11.72578380840599;63.34856205685123;77.6311139012598;;3.118957716089141;2.7434021963158575;2.8704483608141182
;diff;;-1.4273648666348446;-1.7414383827501112;-0.8177908362856243;;-0.09354361401374778;-0.07040713650453334;-0.10849099467941148
;diff rel (%);;-10.851887269725651;-2.675431511735871;-1.0424502917173706;;-2.9118622656181685;-2.5021999779196666;-3.641933645924707

;hPGD-u-extra_max-level2
;;accuracy_top/;01;05;10;ilsvrc_dist_mistakes/avg;01;05;10
;free;;14.533065610630496;65.30244020140094;78.51608228531613;;3.2646248009347234;2.8531935683724257;3.020223368912137
